name,url,price
Arduino Uno R3 Development Board,https://www.jumia.com.ng/generic-arduino-uno-r3-development-board-29464236.html,"₦ 3,800"
"LG 43''Smart Ai UHD 4K Satellite TV+Netflix,Youtube,Apple Airplay,Magic Remote & 2 Years Warranty",https://www.jumia.com.ng/lg-43smart-ai-uhd-4k-satellite-tvnetflixyoutubeapple-airplaymagic-remote-2-years-warranty-72114689.html,"₦ 191,500"
Type-C To HDMI Adapter Cable,https://www.jumia.com.ng/generic-type-c-to-hdmi-adapter-cable-66324771.html,"₦ 5,500"
Souer SUOER 2000watts Power Inverter With Inbuilt 20amps Charger,https://www.jumia.com.ng/souer-suoer-2000watts-power-inverter-with-inbuilt-20amps-charger-79453662.html,"₦ 24,000"
SPY Camera For Security Mini Digital Camera Cctv Wireless With Free Keyholder,https://www.jumia.com.ng/generic-spy-camera-for-security-mini-digital-camera-cctv-wireless-with-free-keyholder-83753790.html,"₦ 12,500"
Smart Android 10.1 Tv Box MXQ PRO Ultra HD Video+HDMI Cable,https://www.jumia.com.ng/generic-smart-android-10.1-tv-box-mxq-pro-ultra-hd-videohdmi-cable-67947672.html,"₦ 15,900"
5FT Micro HDMI To HDMI Male Adapter Converter Cable For TV Smart Phones,https://www.jumia.com.ng/generic-5ft-micro-hdmi-to-hdmi-male-adapter-converter-cable-for-tv-smart-phones-46583937.html,"₦ 2,573"
TELESIN Mini LED Video Light Photography Lamp 50pcs LEDs,https://www.jumia.com.ng/telesin-mini-led-video-light-photography-lamp-50pcs-leds-69622336.html,"₦ 9,194"
Samsung Universal Replacement TV Remote Control For Samsung  Smart T,https://www.jumia.com.ng/samsung-universal-replacement-tv-remote-control-for-samsung-smart-t-79250035.html,"₦ 1,800"
2018 Q18 Bluetooth Smart Watch  GSM Camera TF Card Phone Wrist Watch For Android,https://www.jumia.com.ng/generic-2018-q18-bluetooth-smart-watch-gsm-camera-tf-card-phone-wrist-watch-for-android-80298756.html,"₦ 8,000"
4G+32GB Smart TV Box Android 9.0 Quad Core USB3.0 2.4G WiFi,https://www.jumia.com.ng/generic-4g32gb-smart-tv-box-android-9.0-quad-core-usb3.0-2.4g-wifi-37161389.html,"₦ 17,399"
